"","Q-39","Q-38","Q-37","Q-36","Q-35","Q-34","Q-33","Q-32","Q-31","Q-30","Q-29","Q-28","Q-27","Q-26","Q-25","Q-24","Q-23","Q-22","Q-21","Q-20","Q-19","Q-18","Q-17","Q-16","Q-15","Q-14","Q-13","Q-12","Q-11","Q-10","Q-9","Q-8","Q-7","Q-6","Q-5","Q-4","Q-3","Q-2","Q-1","Q"
"Period End Date","2012-06-30","2012-09-30","2012-12-31","2013-03-31","2013-06-30","2013-09-30","2013-12-31","2014-03-31","2014-06-30","2014-09-30","2014-12-31","2015-03-31","2015-06-30","2015-09-30","2015-12-31","2016-03-31","2016-06-30","2016-09-30","2016-12-31","2017-03-31","2017-06-30","2017-09-30","2017-12-31","2018-03-31","2018-06-30","2018-09-30","2018-12-31","2019-03-31","2019-06-30","2019-09-30","2019-12-31","2020-03-31","2020-06-30","2020-09-30","2020-12-31","2021-03-31","2021-06-30","2021-09-30","2021-12-31","2022-03-31"
"Cash And Equivalents",2098,2478,2384,2325,3001,3100,3323,2998,4384,8999,4315,3419,5123,4308,4907,6456,5108,6038,8903,7104,6252,7201,8079,12082,11552,9637,10019,11076,13877,15979,19079,23618,21045,11617,17576,19513,16186,14496,16601,14886
"Short Term Investments",8090,7974,7242,7147,7251,6228,8126,9631,9572,5251,6884,8994,9002,11526,13527,14165,18185,20102,20546,25202,29200,31088,33632,31874,30757,31569,31095,34167,34719,36290,35776,36671,37195,44003,44378,44706,47894,43579,31397,29004
"Accounts Receivable, Net",578,635,719,659,775,872,1109,1006,1190,1363,1678,1508,1815,2010,2559,2348,2801,3070,3993,3415,3897,4424,5832,5115,5590,6058,7587,6475,7513,7673,9518,7289,7483,8024,11335,10276,11698,12088,14039,11390
"Inventory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepaid Expenses",634,631,471,485,387,342,512,425,411,502,513,1083,1011,1295,659,843,916,1118,959,1209,1455,1490,1002,1327,1923,1876,1769,1572,1843,2130,1844,1634,2099,1933,2140,2570,4718,5063,4480,3691
"Other Current Assets",567,567,451,426,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,11,7,10,10,9,7,8,137,308,222,241,257,201,195,149,294
"Total Current Assets",11967,12285,11267,11042,11421,10549,13070,14060,15557,16115,13390,15004,16951,19139,21652,23812,27010,30328,34401,36930,40804,44203,48563,50412,49833,49147,50480,53300,57961,62079,66225,69349,68130,65799,75670,77322,80697,75421,66666,59265
"Property Plant And Equipment, Net",2105,2289,2391,2533,2577,2685,2882,3074,3334,3703,3967,4619,4955,5335,5687,6467,7104,7899,8591,9462,10628,12158,13721,16211,18357,21112,24683,34092,37271,40687,44783,46486,48435,51730,54981,57922,61434,64789,69964,73823
"Real Estate Owned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capitalized / Purchased Software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Long-term Investments",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,6164,6234,6342,6393,6758,6775,6775
"Goodwill",100,590,587,654,762,762,839,840,857,2612,17981,18005,18025,18024,18026,18029,18043,18085,18122,18126,18129,18213,18221,18268,18263,18304,18301,18333,18334,18338,18715,18811,19029,19031,19050,19056,19219,19065,19197,19923
