"","LTM.FQ-39","LTM.FQ-38","LTM.FQ-37","LTM.FQ-36","LTM.FQ-35","LTM.FQ-34","LTM.FQ-33","LTM.FQ-32","LTM.FQ-31","LTM.FQ-30","LTM.FQ-29","LTM.FQ-28","LTM.FQ-27","LTM.FQ-26","LTM.FQ-25","LTM.FQ-24","LTM.FQ-23","LTM.FQ-22","LTM.FQ-21","LTM.FQ-20","LTM.FQ-19","LTM.FQ-18","LTM.FQ-17","LTM.FQ-16","LTM.FQ-15","LTM.FQ-14","LTM.FQ-13","LTM.FQ-12","LTM.FQ-11","LTM.FQ-10","LTM.FQ-9","LTM.FQ-8","LTM.FQ-7","LTM.FQ-6","LTM.FQ-5","LTM.FQ-4","LTM.FQ-3","LTM.FQ-2","LTM.FQ-1","LTM"
"Period End Date","2012-06-30","2012-09-30","2012-12-31","2013-03-31","2013-06-30","2013-09-30","2013-12-31","2014-03-31","2014-06-30","2014-09-30","2014-12-31","2015-03-31","2015-06-30","2015-09-30","2015-12-31","2016-03-31","2016-06-30","2016-09-30","2016-12-31","2017-03-31","2017-06-30","2017-09-30","2017-12-31","2018-03-31","2018-06-30","2018-09-30","2018-12-31","2019-03-31","2019-06-30","2019-09-30","2019-12-31","2020-03-31","2020-06-30","2020-09-30","2020-12-31","2021-03-31","2021-06-30","2021-09-30","2021-12-31","2022-03-31"
"Revenue",4327,4635,5089,5489,6118,6871,7872,8916,10013,11201,12466,13507,14640,15938,17928,19767,22160,24670,27638,30288,33173,36490,40653,44587,48497,51896,55838,58949,62604,66529,70697,73357,75157,78975,85965,94399,104790,112330,117929,119666
"Revenue Growth (YoY)","NM","NM",0.3713,0.3593,0.4139,0.4824,0.5469,0.6243,0.6366,0.6302,0.5836,0.5149,0.4621,0.4229,0.4382,0.4635,0.5137,0.5479,0.5416,0.5323,0.497,0.4791,0.4709,0.4721,0.4619,0.4222,0.3735,0.3221,0.2909,0.282,0.2661,0.2444,0.2005,0.1871,0.216,0.2868,0.3943,0.4223,0.3718,0.2677
"Cost of Revenues",-1128,-1214,-1168,-1263,-1263,-1376,-1758,-1689,-1761,-1954,-2153,-2408,-2637,-2729,-2867,-3051,-3299,-3566,-3789,-4110,-4429,-4890,-5454,-6222,-7200,-8170,-9355,-10244,-11337,-12075,-12770,-13413,-13935,-14973,-16692,-18364,-19934,-21511,-22649,-23523
"Gross Profit",3199,3421,3921,4226,4855,5495,6114,7227,8252,9247,10313,11099,12003,13209,15061,16716,18861,21104,23849,26178,28744,31600,35199,38365,41297,43726,46483,48705,51267,54454,57927,59944,61222,64002,69273,76035,84856,90819,95280,96143
"Gross Profit Margin",0.7393,0.7381,0.7705,0.7699,0.7936,0.7997,0.7767,0.8106,0.8241,0.8256,0.8273,0.8217,0.8199,0.8288,0.8401,0.8457,0.8511,0.8555,0.8629,0.8643,0.8665,0.866,0.8658,0.8605,0.8515,0.8426,0.8325,0.8262,0.8189,0.8185,0.8194,0.8172,0.8146,0.8104,0.8058,0.8055,0.8098,0.8085,0.8079,0.8034
"R&D Expenses",-1090,-1226,-1399,-1539,-1178,-1303,-1415,-1577,-1725,-1964,-2666,-3273,-3950,-4613,-4816,-5097,-5399,-5670,-5919,-6410,-6858,-7368,-7754,-8158,-8762,-9367,-10273,-10895,-11687,-12577,-13600,-14755,-15902,-17118,-18447,-19629,-21263,-22816,-24655,-27165
"Selling and Marketing Expense",-770,-824,-896,-956,-833,-897,-997,-1117,-1206,-1348,-1680,-1977,-2246,-2578,-2725,-2931,-3206,-3426,-3772,-4003,-4225,-4469,-4725,-5263,-5994,-6753,-7846,-8271,-8830,-9317,-9876,-10643,-11069,-11336,-11591,-11647,-12066,-12937,-14043,-14512
"General & Admin Expenses",-740,-809,-892,-964,-675,-695,-781,-792,-816,-904,-973,-1060,-1168,-1254,-1295,-1386,-1494,-1588,-1731,-2021,-2248,-2345,-2517,-2619,-2754,-3161,-3451,-6758,-9207,-4612,-5465,-2984,-1352,-6794,-6564,-6603,-6967,-8123,-9829,-10567
"Other Inc / (Exp)",-38,-7,-203,-269,-362,-434,-130,-238,-171,-107,-88,-28,5,-28,-60,-28,-34,-2,-75,-90,-83,-75,-1,1,-134,-184,-204,-253,-127,-5196,-5078,-5305,-5286,-225,-163,104,123,198,70,371
"Operating Expenses",-2638,-2866,-3390,-3728,-3048,-3329,-3323,-3724,-3918,-4323,-5407,-6338,-7359,-8473,-8896,-9442,-10133,-10686,-11497,-12524,-13414,-14257,-14997,-16039,-17644,-19465,-21774,-26177,-29851,-31702,-34019,-33687,-33609,-35473,-36765,-37775,-40173,-43678,-48457,-51873
"Operating Income",561,555,531,498,1807,2166,2791,3503,4334,4924,4906,4761,4644,4736,6165,7274,8728,10418,12352,13654,15330,17343,20202,22326,23653,24261,24709,22528,21416,22752,23908,26257,27613,28529,32508,38260,44683,47141,46823,44270
