"","LTM.FQ-39","LTM.FQ-38","LTM.FQ-37","LTM.FQ-36","LTM.FQ-35","LTM.FQ-34","LTM.FQ-33","LTM.FQ-32","LTM.FQ-31","LTM.FQ-30","LTM.FQ-29","LTM.FQ-28","LTM.FQ-27","LTM.FQ-26","LTM.FQ-25","LTM.FQ-24","LTM.FQ-23","LTM.FQ-22","LTM.FQ-21","LTM.FQ-20","LTM.FQ-19","LTM.FQ-18","LTM.FQ-17","LTM.FQ-16","LTM.FQ-15","LTM.FQ-14","LTM.FQ-13","LTM.FQ-12","LTM.FQ-11","LTM.FQ-10","LTM.FQ-9","LTM.FQ-8","LTM.FQ-7","LTM.FQ-6","LTM.FQ-5","LTM.FQ-4","LTM.FQ-3","LTM.FQ-2","LTM.FQ-1","LTM"
"Period End Date","2012-06-30","2012-09-30","2012-12-31","2013-03-31","2013-06-30","2013-09-30","2013-12-31","2014-03-31","2014-06-30","2014-09-30","2014-12-31","2015-03-31","2015-06-30","2015-09-30","2015-12-31","2016-03-31","2016-06-30","2016-09-30","2016-12-31","2017-03-31","2017-06-30","2017-09-30","2017-12-31","2018-03-31","2018-06-30","2018-09-30","2018-12-31","2019-03-31","2019-06-30","2019-09-30","2019-12-31","2020-03-31","2020-06-30","2020-09-30","2020-12-31","2021-03-31","2021-06-30","2021-09-30","2021-12-31","2022-03-31"
"Price Close (Split Adjusted)",31.095,21.66,26.6197,25.58,24.88,50.23,54.649,60.24,67.29,79.04,78.02,82.215,85.765,89.9,104.66,114.1,114.28,128.27,115.05,142.05,150.98,170.87,176.46,159.79,194.32,164.46,131.09,166.69,193,178.08,205.25,166.8,227.07,261.9,273.16,294.53,347.71,339.39,336.35,222.36
"Market Cap",66483.7542,46403.6816,57669.645,60934.9901,60157.492,122326.122,138820.099,154449.1607,172689.5017,205508.0778,217507.8959,230120.7563,240848.3816,253297.3397,295977.8576,334694.1637,326875.7149,368348.3748,331593.3683,410521.8485,437566.7556,496240.0703,512759.0117,464190.0711,562484.064,474831.9815,376724.8181,475731.5598,550916.326,508053.4247,585320.9755,475455.1699,647452.8242,746104.8627,778039.626,838724.2307,985919.4774,956891.2692,935644.8132,605251.0142
"Total Enterprise Value (TEV)",63279.7542,36921.6816,48119.645,53668.9901,52946.492,114241.122,130067.099,143476.1607,160452.5017,191878.0778,203535.8959,219154.7563,228819.3816,239519.3397,280467.8576,316575.1637,306254.7149,345055.3748,305453.3683,381072.8485,405260.7556,460788.0703,474470.0117,422479.0711,518626.064,432643.9815,335588.8181,435117.5598,513223.326,467661.4247,542614.9755,431674.1699,597977.8242,698868.8627,733563.626,787947.2307,933841.4774,905374.2692,890788.8132,571707.0142
"Enterprise Value (EV)",63279.7542,36921.6816,48119.645,53668.9901,52946.492,114240.122,130067.099,143476.1607,160452.5017,191878.0778,203535.8959,219154.7563,228819.3816,239519.3397,280467.8576,316575.1637,306254.7149,345055.3748,305453.3683,381072.8485,405260.7556,460788.0703,474470.0117,422479.0711,518626.064,432643.9815,335588.8181,435117.5598,513223.326,467661.4247,542614.9755,431588.1699,597977.8242,698868.8627,727399.626,781713.2307,927499.4774,898981.2692,884030.8132,492077.8957
"EV / EBITDA",29.6949,35.2306,44.1465,45.214,40.6655,41.3464,39.849,36.4894,34.395,35.1812,33.4433,35.1378,36.5877,37.7791,42.5016,38.7485,32.7826,31.5753,24.0685,25.8022,25.0084,25.5738,23.484,18.1884,20.2367,15.7928,11.8215,14.887,18.6613,17.4944,16.2236,12.428,15.927,17.8812,20.6524,19.7737,20.4327,17.2619,16.144,9.4539
"EV / EBIT",36.1805,61.6389,85.6221,99.7565,99.899,60.1264,56.4772,49.1188,44.2872,43.7578,40.6909,43.8836,47.4926,50.9399,58.8723,50.8554,41.9412,39.3809,29.3141,30.6649,29.4864,29.8961,27.2402,20.9117,23.2307,18.1883,13.7283,17.4655,22.5286,21.7083,19.4152,14.8895,18.9461,21.2429,25.2973,23.9268,24.3081,20.1746,18.832,11.2093
"EV / LTM EBITDA - CAPEX",51.6569,-265.6236,-364.5428,-1118.104,274.3342,63.502,59.4728,55.8273,49.1131,49.7738,47.4553,49.7401,53.4126,55.832,65.9769,56.0608,49.4837,47.0808,34.8016,37.0766,35.0117,35.6123,32.8012,25.6126,29.8851,25.2934,20.3252,28.4149,40.8552,40.2497,29.9077,21.9918,26.3171,28.3643,35.2781,32.0138,31.4055,25.7639,23.9264,15.2134
"EV / Free Cash Flow","NA",-28.3181,-35.43,-52.4706,-141.0402,54.1684,54.8237,64.1028,56.0071,65.9216,64.9519,64.7223,79.0188,84.8866,114.6883,81.0381,66.4523,63.5714,43.4105,51.047,46.1201,47.831,46.0036,35.6719,37.9626,36.0346,27.4154,39.3001,46.4985,34.5871,29.6392,21.4342,28.5229,42.9751,54.5186,49.5682,58.1618,38.4542,32.8968,16.1017
"EV / Invested Capital",10.0396,2.6344,3.1918,3.8023,3.7591,7.87,9.5476,8.9976,9.3673,10.2762,9.4597,6.0325,6.0398,6.0182,6.7188,7.1088,6.4953,6.8486,5.6445,6.4377,6.5167,6.9311,6.6632,5.6825,6.6732,5.4419,4.1734,5.1416,5.456,4.8229,5.2395,3.8758,5.1497,5.7543,5.6921,5.671,6.405,6.0042,6.0772,3.5492
"EV / Revenue",15.6711,8.5329,10.3818,10.5461,9.6459,18.6728,18.9299,18.2261,17.996,19.1629,18.1712,17.5802,16.9408,16.3606,17.5974,17.6581,15.4932,15.5711,12.3816,13.788,13.3802,13.8905,13.0027,10.3923,11.6318,8.921,6.4666,7.7925,8.7062,7.4702,8.1561,6.1048,8.1516,9.2988,9.2105,9.0934,9.8253,8.5789,7.8699,4.1121
"P/E Ratio",94.9768,115.1456,297.2662,1904.2184,925.4999,229.5049,136.9035,103.5876,90.2716,86.7489,79.1226,78.6738,86.1712,93.0556,105.2927,91.2222,66.8184,57.0817,40.5272,40.2946,37.9997,37.7972,33.7075,29.1577,31.5152,24.9086,19.3222,21.5156,28.1755,29.7734,32.4853,25.7211,30.8929,31.7208,30.7818,28.7766,29.2202,24.5628,23.2147,14.1434
"Price / Book",11.8785,3.4866,4.0687,5.1838,5.0877,9.9058,10.6392,9.9838,10.3178,11.2018,10.2414,6.3752,6.4225,6.4204,7.1458,7.5692,6.9327,7.311,6.1276,6.9352,7.0362,7.4644,7.2009,6.2436,7.2466,5.9816,4.689,5.6549,6.3678,5.7238,6.2269,4.705,6.1484,6.7553,6.6086,6.5377,7.3765,6.9226,7.0159,4.2854
"Price / Operating Cash Flow",40.4157,26.4258,40.0206,37.8009,31.8294,41.1595,37.805,36.582,36.0671,42.7518,42.6068,31.4115,41.0164,39.5098,40.2417,32.4316,27.0212,26.5342,21.0857,25.4856,24.7367,25.6005,23.877,19.1687,20.8189,16.985,12.8457,16.251,17.9323,15.3769,16.7959,13.0929,17.0351,22.4271,23.0257,21.6462,24.6554,19.3868,17.4499,8.8728
"Price / LTM Sales",16.4645,10.7242,12.4422,11.9739,10.9596,19.9945,20.2038,19.6201,19.3685,20.5241,19.4186,18.4599,17.8314,17.3017,18.5706,18.6688,16.5364,16.6222,13.4412,14.8535,14.4469,14.9592,14.052,11.4183,12.6154,9.791,7.2592,8.5199,9.3456,8.1154,8.798,6.7253,8.8261,9.9273,9.8517,9.7566,10.4442,9.1315,8.3294,4.413
"Altman Z-Score",26.1782,16.4533,11.8983,12.548,12.6734,41.1607,36.5911,42.8598,45.282,44.4198,36.5928,33.3391,33.4907,32.6589,36.9188,43.553,39.4758,42.6971,37.5866,40.859,38.7921,41.4001,33.4691,27.8434,34.2677,26.8164,20.3168,15.1806,14.2686,12.7476,13.5521,11.368,16.1196,18.2343,17.7302,19.7187,21.2495,18.8273,16.5601,10.5547
"Piotroski Score",5,5,4,5,5,7,8,8,8,8,6,5,4,5,6,8,8,8,8,7,8,8,8,5,6,6,6,5,4,4,4,4,6,7,7,7,7,6,7,6
"Dividend Per Share",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dividend Yield",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
